"","x"
"1245","National Institute of Genetics, Mishima, Japan"
"1246","Johns Hopkins University, Baltimore, MD"
"1247","Yale University, New Haven CT"
"1248","University of Tokyo, Tokyo, Japan"
"1249","Xiamen University, Xiamen, Fujian, China"
"1250","SUNY, Albany NY"
"1251","Saga University, Saga, Japan"
"1252"," Yonsei University, Seoul, Korea"
"1253","National Cheng Kung University, Department of Biochemistry and Molecular Biology, No.1 University Rd., Tainan 701, Taiwan"
"1254","University of Alabama, Birmingham AL"
"1255","Northwestern University, Evanston, IL"
"1256","Harvard Medical School, Boston MA"
"1257","Kanagawa University of Human Services; Yokosuka, Japan"
"1258","Truman State University, Kirksville MO"
"1259","Yonsei University, Seoul, Korea"
"1260","Tongji University, Shanghai, China"
"1261","National Taiwan University, Taiwan"
"1262","University of Pennsylvania, Philadelphia PA"
"1263","Harvard Medical School, Boston MA"
"1264","Ryerson University, Toronto, Canada"
"1265","UCLA, Los Angeles CA"
"1266","University of Wisconsin-Madison, Madison, WI"
"1267","Biozentrum der LMU Muenchen, Planegg-Martinsried, Germany"
"1268","The Hebrew University of Jerusalem, Jerusalem, Israel"
"1269","Rutgers University, Piscataway NJ"
"1270","Harvard University, Cambridge MA"
"1271","MIT, Cambridge MA"
"1272","Northwestern University Med School, Chicago IL"
"1273","Department of Biochemistry, Room: MD4A #02-03,National University of Singapore, Singapore 117597"
"1274","Iowa State University, Ames IA"
"1275","Baylor College of Medicine, Houston TX"
"1276","Shanghai Tech University, Shanghai, China"
"1277","State Key Laboratory of Biotherapy, West China Center of Medical Sciences, Sichuan University, Chendu, China"
"1278","Aston University, Birmingham, England"
"1279","IMP, Vienna, Austria"
"1280","Hokkaido University, Sapporo, Japan"
"1281","Seattle Children's Hospital Research Institute, Seattle, WA"
"1282","Texas A&M University, College Station TX"
"1283","Samuel Lunenfeld Res Inst, Toronto, Canada"
"1284","Virginia Commonwealth University, Richmond VA, USA"
"1285","ShanghaiTech University, Shanghai, China"
"1286","Mayo Clinic, Rochester MN"
"1287","zpincus@wustl.edu"
"1288","Zhejiang University, Hangzhou, China"
"1289","California State Polytechnic Univ, Pomona CA"
"1290","European Inst. of Oncology, Milano, Italy"
"1291","King's College London, London, UK"
"1292","Kyoto University, Kyoto, Japan"
"1293","The University of Queensland, Brisbane, Queensland Australia"
"1294","ETH Hoenggerberg, Zuerich, Switzerland"
"1295","University of Houston, Houston TX"
"1296","University of Connecticut, Farmington CT"
"1297","University Frankfurt, Frankfurt, Germany"
"1298","Huazhong University, Hubei, China"
"1299","California State Univ., San Bernardino CA"
"1300","University of Texas, San Antonio TX"
"1301","Hong Kong Baptist University, Hong Kong, China"
